time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,23,10,0,0
2026-06-22 00:00:00+00:00,9,4,2,2
2026-06-23 00:00:00+00:00,25,8,0,0
2026-06-24 00:00:00+00:00,7,5,1,1
2026-06-25 00:00:00+00:00,38,16,0,0
2026-06-26 00:00:00+00:00,37,14,0,0
2026-06-27 00:00:00+00:00,61,23,1,1
2026-06-28 00:00:00+00:00,151,48,2,2
2026-06-29 00:00:00+00:00,24,9,0,0
2026-06-30 00:00:00+00:00,114,41,0,0
2026-07-01 00:00:00+00:00,36,13,0,0
2026-07-02 00:00:00+00:00,104,37,2,2
2026-07-03 00:00:00+00:00,73,23,1,1
2026-07-04 00:00:00+00:00,39,20,0,0
