time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,32,13,0,0
2026-06-12 00:00:00+00:00,4,2,1,1
2026-06-13 00:00:00+00:00,11,5,0,0
2026-06-14 00:00:00+00:00,36,15,0,0
2026-06-15 00:00:00+00:00,2,2,0,0
2026-06-16 00:00:00+00:00,45,18,0,0
2026-06-17 00:00:00+00:00,88,39,5,2
2026-06-18 00:00:00+00:00,44,18,0,0
2026-06-19 00:00:00+00:00,7,7,1,1
2026-06-20 00:00:00+00:00,13,4,0,0
2026-06-21 00:00:00+00:00,23,10,0,0
2026-06-22 00:00:00+00:00,9,4,2,2
2026-06-23 00:00:00+00:00,25,8,0,0
2026-06-24 00:00:00+00:00,7,5,1,1
