time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,19,15,1,1
2026-07-30 00:00:00+00:00,8,8,0,0
2026-07-31 00:00:00+00:00,15,4,0,0
2026-08-01 00:00:00+00:00,15,8,4,3
2026-08-02 00:00:00+00:00,24,11,0,0
2026-08-03 00:00:00+00:00,4,4,0,0
2026-08-04 00:00:00+00:00,22,9,1,1
2026-08-05 00:00:00+00:00,2,2,1,1
2026-08-06 00:00:00+00:00,0,0,0,0
2026-08-07 00:00:00+00:00,13,7,0,0
2026-08-08 00:00:00+00:00,14,10,0,0
2026-08-09 00:00:00+00:00,5,2,0,0
2026-08-10 00:00:00+00:00,16,9,1,1
2026-08-11 00:00:00+00:00,15,7,0,0
